Syllable/Combination,汉字
gim3B|22,俭倹儉
sim2A|35,㚒𦖠陕陝閃闪覢蝉蟬睒煔炶㨛㪎㴸㶒䀹䁡䠾晱
sim1A|55,軕襳苫笘痁
sim3B|22,贍赡剡
sim1B|21,襜蝉蟬蟾裧簷禅禪澶䄠单單壛婵嬋棎檐
sim3A|33,苫熌㣣掞
tim1A|55,㖭𠻹黇酟㬲䋬婖沗添
tim2B|13,餂驔簟㶘恬掭殄
tim2A|35,餂舔甜㤁䄼忝悿
tim1B|21,餂菾胋甛甜㵇䑚恬湉
tim3A|33,㮇㶺掭
nim3B|22,㑫𤦬𦁤艌䧔卄唸埝廿念棯
nim2B|13,㜤
nim1A|55,黏粘稔拈棯
nim1B|21,黏鮎鯰鲇鲶粘秥䬯
nim3A|33,蹨
nim2A|35,拈捻撚
lim3B|22,㑫𤦬𦁤襝裣蔹薟蘞艌莶潋澰瀲㱨㶑䧔卄唸埝廿念敛斂棯歛殓殮
lim2B|13,㜤襝裣蔹薟蘝蘞脸臉莶羷溓㪘㯬㰈㰸㱨䌞䭑嬚敛斂歛殓殮
lim1A|55,黏粘稔令廉拈棯
lim1B|21,黏𢅳𤅄鮎鯰鲇鲶鬑鎌鐮镰覝螊蠊薕臁簾籢籨粘秥睑瞼磏熑燫濂濓㝺㡘㢘㼓䁠䆂䙺䥥䨬䬯亷劆匲匳奁奩帘廉
lim3A|33,蹨
lim2A|35,舐簾帘拈捻撚
him3A|33,㐸芡䈴傔嗛姭慊欠欥歉
him1A|55,𣔙馦锨鍁谦謙磏㰹㷿㸝㽐㾾㿌䵌嗛忺杴檶欦
him2A|35,险険險譣膁肷脥礆猃獫玁䇜嗛崄嵰嶮
kim1B|21,黔黚钤钳鈐鉗鍼軡羬箝䈤仱坩岒忴拑
kim2A|35,钳鉗
ja2B|13,也
ja3B|22,卄廿念
ja1A|55,吔
ja2A|35,吔
ja1B|21,吔
da1A|55,咑打
da2A|35,打
ca1B|21,㜁𥻗𤨓餷馇苴茬茶荼秅碴㢉㢒㾴䁟䅊䠧垞嵖搽查査楂槎
ca1A|55,靫銟蹅艖肞碴䑡䟕叉喳嗏差扠杈
