Syllable/Combination,汉字
ngiok4A|1,蠚虐瘧
ngiok4B|5,弱
yiuk4A|1,育毓
yiuk4B|5,辱褥欲慾浴
liuk4A|1,六陸
liuk4B|5,陸綠錄戮
ziuk4A|1,足
siuk4A|1,宿肅粟蓿
siuk4B|5,續俗
giuk4A|1,趜
kiuk4A|1,菊掬麴曲鞠
kiuk4B|5,局跼
ngiuk4A|1,肉
ngiuk4B|5,玉獄
hiuk4A|1,畜蓄旭煜
bu1A|44,埔晡
bu2|31,補斧
bu3|53,布佈怖
pu1A|44,鋪普簿
pu1B|11,蒲菩符扶烳
pu2|31,脯譜浦捕甫殕輔哺圃
pu3|53,部步
mu1A|44,母
mu1B|11,模巫誣
mu2|31,舞
mu3|53,暮慕墓夢
fu1A|44,呼戶互夫膚敷俘訃蜉伕
fu1B|11,胡湖狐壺乎瓠瓠鬍芙鳧蝴糊弧瑚猢
fu2|31,苦虎滸府腑俯腐琥
fu3|53,褲戶滬戽護父釜腐付賦傅赴附婦負阜富咐駙扈笏
vu1A|44,烏汚塢武侮嗚鎢鄔
vu1B|11,無
vu2|31,撫舞侮鵡蕪
vu3|53,惡務霧戍芋鶩騖婺
du1A|44,都
