Syllable/Combination,汉字
ling3B|13,林淋臨檁鄰鱗燐吝陵凌菱領嶺令靈零鈴伶翎另欞齡粼稜琳霖麟凜廩懍藺躪苓囹玲聆綾蛉羚瓴繗泠鴒
jing1A|53,今金襟津巾斤筋莖京荆驚精晶睛經矜旌兢菁涇
jing3A|35,禁錦浸儘進晉緊謹勁俊濬境景警敬竟鏡井頸徑靳憬峻駿竣阱剄儆堇槿
qing1A|53,侵欽親卿清輕青蜻傾氫氰衾鯖
qing3A|35,寢撳慶請磬頃沁罄
jjing3B|13,琴禽擒僅勤芹近擎鯨競覲噤痙黥檠凚
njing3B|13,壬任吟賃齦人仁忍認韌銀閏仍凝迎寧佞濘仞妊垠檸嚀獰衽鄞狺
xing1A|53,心掀辛新薪興蜻星腥馨芯惶莘鋅鑫猩眚歆
xing3A|35,信訊釁欣迅興省性姓醒囟汛臖
xxing3B|13,尋秦盡旬循巡情晴靜靖淨餳潯燼蕈
hhing3B|13,淫寅引尹行幸盈贏形型刑螢營塋穎邢蚓胤熒瑩楹潁霪悻
weng1A|53,溫瘟蘊
weng3A|35,穩
gueng3A|35,滾棍磙袞鯀
kueng1A|53,昆崑坤琨鯤
kueng3A|35,綑困睏
hueng1A|53,昏婚葷
hhueng3B|13,魂餛渾混諢
ong1A|53,翁嗡蕹
ong3A|35,甕䐥齆
pong3A|35,捧
bbong3B|13,篷蓬鳳埲
mong1A|53,蒙
mong3B|13,蒙懵蠓夢檬朦濛
fong1A|53,風楓瘋豐諷封峯蜂鋒烽
fong3A|35,俸
vong3B|13,馮鳳逢縫奉俸
dong1A|53,東冬
dong3A|35,董懂凍棟
tong1A|53,通蓪
tong3A|35,捅痛統
ddong3B|13,同銅桐筒童瞳桶動洞彤恫慟侗潼僮烔
nong1A|53,弄
nong3B|13,齈弄農膿儂
long1A|53,弄
long3B|13,籠聾攏弄隆龍隴嚨窿壟瓏朧礱
zong1A|53,椶鬃宗中忠終蹤鐘鍾樅衷翪
zong3A|35,總綜中眾縱冢種腫蹱
cong1A|53,聰怱葱囪充從衝舂忡憧
cong3A|35,銃寵鍯
song1A|53,鬆嵩松淞
song3A|35,送宋慫誦頌訟聳悚竦
ssong3B|13,叢蟲仲崇戎從誦頌訟重茸
gong1A|53,公蚣工功攻弓躬宫恭供龔肱疘
gong3A|35,貢汞供拱鞏
kong1A|53,空箜
kong3A|35,空孔控恐
ggong3B|13,共
hong1A|53,轟揈烘閧薨
hong3A|35,哄蕻訌
hhong3B|13,虹弘宏紅洪鴻泓
yong3A|35,允熨永泳詠雍癰擁甬勇湧㙲蛹醞臃踴俑恿邕藴
jiong1A|53,均鈞君軍皸龔炯
jiong3A|35,窘迥
qiong1A|53,穹
jjiong3B|13,羣裙郡瓊窮穹
njiong3B|13,戎絨濃茸冗醲
xiong1A|53,熏勳薰兄胸凶兇醺洶匈訩
xiong3A|35,荀殉訓馴詢
xxiong3B|13,徇
hhiong3B|13,勻允云雲韻運暈孕螢榮營塋熊雄融容蓉庸用傭溶熔榕熒瑩芸耘隕鏞慵
ah4A|5,阿鴨押壓
bah4A|5,八百柏伯擘捌
pah4A|5,帕泊迫拍魄珀粕舶
bbah4B|1,拔白帛跋
mah4B|1,襪陌麥脈
fah4A|5,法髮發琺砝
vah4B|1,乏伐筏罰閥
dah4A|5,答搭沓褡耷瘩妲嗒鎝㿯溚
tah4A|5,搨塔榻塌溻獺遢蹋呾鰨
ddah4B|1,踏達撻闥䈳
nah4B|1,納捺呐鈉衲
lah4B|1,臘蠟獵辣瘌邋剌
zah4A|5,劄札紮着酌窄隻炙咂灼匝
cah4A|5,插擦察綽拆㿭策册赤斥尺坼
sah4A|5,眨濕撒薩殺栅刹颯煞霎
ssah4B|1,雜閘煠鍘着芍若弱宅擲石碩砸
gah4A|5,夾裌格隔膈骼䇲䀫
kah4A|5,恰掐客
ggah4B|1,軋
ngah4B|1,額齾
hah4A|5,嚇喝瞎呷
hhah4B|1,盒狹匣狎
yah4A|5,約
liah4B|1,略掠
jiah4A|5,夾裌甲胛爵腳莢頰鉀
qiah4A|5,恰洽怯雀鵲卻皵
njiah4B|1,捏虐瘧箬
xiah4A|5,削
xxiah4B|1,嚼
hhiah4B|1,峽洽挾協樂藥鑰躍學俠
wah4A|5,挖
guah4A|5,括刮曠摑
huah4A|5,豁奯
hhuah4B|1,滑猾磆
oh4A|5,惡握屋沃噩幄齷渥
boh4A|5,博剝駁北卜膊搏
poh4A|5,樸朴撲仆噗璞濮蹼
bboh4B|1,薄縛僕曝瀑匐箔䞳
moh4B|1,莫膜寞摸木目穆牧漠沐睦苜
foh4A|5,復福幅蝠複腹覆輻馥蝮
voh4B|1,復縛複服伏袱茯
doh4A|5,篤督沰厾豛
toh4A|5,託托魄禿庹拓橐柝袥
ddoh4B|1,鐸踱獨讀牘犢毒瀆櫝黷
noh4B|1,諾
