Syllable/Combination,汉字
lin1B|24,林淋臨鄰鱗燐陵凌菱凝寧靈零鈴伶翎欞齡粼琳嶙霖麟苓囹玲聆綾檸嚀獰您遴羚
lin2|212,檁領嶺凜廩
lin3|44,賃吝令佞另濘藺躪
zin1A|31,津精晶睛腈旌菁
zin2|212,儘井阱
zin3|44,浸盡進晉靜靖淨燼縉
cin1A|31,侵親清青蜻氰鯖
cin1B|24,尋秦情晴
cin2|212,寢請
cin3|44,親沁
sin1A|31,心辛新薪性蜻星腥芯鋅猩惺
sin1B|24,尋
sin2|212,省醒擤
sin3|44,信姓
jin1A|31,今金襟巾斤筋莖京荆驚鯨經矜兢涇
jin2|212,錦緊僅謹景警頸瑾憬巹剄儆
jin3|44,禁近勁境敬鏡競徑靳覲痙脛饉
qin1A|31,欽卿輕傾氫衾
qin1B|24,琴禽擒勤芹擎鯨噙黥
qin2|212,擎頃
qin3|44,撳慶罄
xin1A|31,欣興馨鑫昕
xin1B|24,行形型刑滎桁邢荇
xin3|44,釁興杏幸囟
wun1A|31,溫瘟䐥
wun1B|24,文紋蚊聞
wun2|212,穩吻刎紊
wun3|44,問
dun1A|31,敦墩蹲噸礅
dun3|44,飩沌盾頓鈍遁燉盹
tun1A|31,吞
tun1B|24,屯豚臀囤
tun3|44,褪
lun1B|24,崙倫淪輪掄圇綸
lun3|44,論嫩
zun1A|31,尊遵樽
cun1A|31,村皴
cun1B|24,存
cun3|44,襯寸
sun1A|31,孫猻
sun2|212,損筍榫省
zhun2|212,準准
chun1A|31,椿春
chun2|212,蠢
shun1B|24,唇純蒓醇鶉淳
shun2|212,吮
shun3|44,順舜瞬
run3|44,潤閏
gun2|212,滾磙袞緄輥鯀
gun3|44,棍
kun1A|31,昆崑坤琨鯤
kun2|212,綑
kun3|44,困
hun1A|31,昏婚葷
hun1B|24,魂餛渾混橫紅諢
hun3|44,混鯶
yun1A|31,暈
yun1B|24,勻云雲芸紜耘
yun2|212,允隕
yun3|44,熨韻運孕泳醞蘊鄆
zyun3|44,俊濬峻竣
syun1B|24,尋荀旬循巡潯詢徇絢峋蕈
syun3|44,訊遜迅殉汛
jyun1A|31,均鈞君軍
jyun3|44,菌郡駿
qyun1B|24,羣裙
xyun1A|31,熏勳
xyun1B|24,馴
xyun3|44,訓
en1A|31,恩
en3|44,硬摁
ben1A|31,奔崩繃
ben2|212,本繃
ben3|44,笨迸蹦泵
pen1A|31,噴烹抨怦
pen1B|24,盆朋彭膨篷蓬澎鵬硼蟛
pen2|212,捧
pen3|44,噴碰
men1A|31,悶蒙
men1B|24,門虻萌明盟蒙懵們捫檬朦艨
men2|212,猛蒙蠓錳
men3|44,悶孟夢燜懣
fen1A|31,分芬紛風楓瘋豐封峯蜂鋒吩烽汾鄷
fen1B|24,焚墳馮逢縫
fen2|212,粉諷
fen3|44,分憤忿糞奮份鳳縫奉俸氛
den1A|31,墩蹲登燈蹬砘
den2|212,等戥
den3|44,鈍凳鄧澄瞪
ten1A|31,吞熥
ten1B|24,臀騰謄藤疼滕
len1B|24,能稜
len2|212,冷
len3|44,楞愣
zen1A|31,曾增憎贈爭箏睜罾
zen2|212,怎
zen3|44,憎贈甑
cen1A|31,參撐
cen1B|24,岑曾層
cen2|212,逞
cen3|44,箏
sen1A|31,參森生牲甥
sen2|212,省
sen3|44,瘆
zhen1A|31,針斟珍榛臻眞肫蒸貞偵征砧掙禎甄崢猙箴稹鴆
zhen2|212,枕診疹拯整稹
zhen3|44,鎮陣振震證症鄭正政幀圳朕賑怔
chen1A|31,伸稱嗔郴
chen1B|24,沉陳塵辰晨臣澄橙乘承丞呈程成城誠盛瞠忱
chen2|212,懲騁
chen3|44,趁稱乘秤剩讖
shen1A|31,深身申伸娠升笙聲紳呻
shen1B|24,神腎繩
shen2|212,沈審嬸
shen3|44,甚滲腎愼勝剩盛聖蜃
shen,辰
ren1A|31,扔
